fold,target,AUC,AP,LogLoss,pos_valid,n_valid
0,target_1,0.6713501778930231,0.349883080052415,1.1582921148254341,103,425
0,target_2,0.7959036144578313,0.19055740257352494,0.2638069495538213,10,425
0,target_3,0.677168021680217,0.22375020833750556,1.0344984775555928,56,425
0,target_4,0.6724069082559649,0.2584475998948386,1.1267579375336987,54,425
1,target_1,0.7111068111455109,0.4602859347134442,1.3199854228616785,119,423
1,target_2,0.8229665071770336,0.20749013986865647,0.1242174938937911,5,423
1,target_3,0.684516523867809,0.1798466888489036,0.7914579739344638,43,423
1,target_4,0.7206764212041257,0.23783334690408325,0.8592163508642534,44,423
2,target_1,0.6997076023391813,0.41858922110595853,1.0305673894713598,95,419
2,target_2,0.5384823848238482,0.09268995955272699,0.2688128040140427,9,419
2,target_3,0.7105691056910569,0.1962554778025311,0.9617115765466844,50,419
2,target_4,0.7364775725593667,0.27715630093061894,0.7469584090799689,40,419
3,target_1,0.7163531870428423,0.38428945555322114,1.2279510699979164,116,446
3,target_2,0.9824660633484162,0.32743055555555556,0.08500320722093713,4,446
3,target_3,0.6932935916542473,0.21237450459095852,1.1101231005211802,61,446
3,target_4,0.7317041124687952,0.4013103781500999,1.059933097739622,59,446
4,target_1,0.6878439918419803,0.43965536380645065,1.4707988132219398,123,414
4,target_2,0.7525672371638141,0.2489338336954375,0.12053269448722209,5,414
4,target_3,0.6906565656565656,0.26254684874302925,1.2709332442141115,66,414
4,target_4,0.7336229946524064,0.30148164303452774,0.7372623689873324,40,414
